artist,album
Brother Ali,Us
UGK,UGK 4 Life
Clipse,Til The Casket Drops
K-OS,Yes!
K'naan,Troubadour
Atmosphere,"When Life Gives You Lemons, You Paint That Shit Gold"
Nas,Nas
Black Milk,Tronic
Citizen Kane,Deliverance
J-Live,Then What Happened
eMC,The Tonite Show
